Transaction Date,Posting Date,Description,Foreign Currency Type,Transaction Amount(Foreign),Local Currency Type,Transaction Amount(Local)
07 Mar 2023,11 Mar 2023,"BUS/MRT 240346494        SINGAPORE    SG
Ref No: XXX",,,SGD,2.54
27 Feb 2023,28 Feb 2023,"Grab*                    SINGAPORE    SG
Ref No: XXX",,,SGD,100.00
